regime,arm,method,lr0,ewc0,seed,avg_acc,bwt,collapse,events_stored,n_nonfinite,losses_available,n_spike,max_excess,worst_window_mean,min_task_acc,max_forget,worst_running_avg_acc,final_task_acc,gate_open_frac
E3,cifar100_fixed_lr0.02_ewc10,fixed,0.02,10,7,0.39020001590251924,-0.08977778421507941,0,0,0,0,NA,NA,NA,0.24900001287460327,0.17000001668930054,0.3475000262260437,0.4570000171661377,
E3,cifar100_fixed_lr0.02_ewc10,fixed,0.02,10,8,0.37770001888275145,-0.10533333155843946,0,0,0,0,NA,NA,NA,0.1980000138282776,0.16699999570846558,0.3190000057220459,0.5680000185966492,
E3,cifar100_fixed_lr0.02_ewc10,fixed,0.02,10,9,0.3917000204324722,-0.07055556443002489,0,0,0,0,NA,NA,NA,0.33000001311302185,0.17100003361701965,0.3606000244617462,0.46800002455711365,
E3,cifar100_fixed_lr0.05_ewc1000,fixed,0.05,1000,0,0.10000000149011612,-0.23133334931400087,1,854,854,0,NA,NA,NA,0.10000000149011612,0.424000047147274,0.10000000149011612,0.10000000149011612,
E3,cifar100_fixed_lr0.05_ewc1000,fixed,0.05,1000,1,0.37000001668930055,-0.06833333770434062,0,72,72,0,NA,NA,NA,0.15200001001358032,0.11599999666213989,0.2680000066757202,0.4610000252723694,
E3,cifar100_fixed_lr0.05_ewc1000,fixed,0.05,1000,2,0.3468000143766403,-0.09066666828261481,0,0,0,0,NA,NA,NA,0.2550000250339508,0.16899999976158142,0.3190000057220459,0.4480000138282776,
E3,cifar100_fixed_lr0.05_ewc1000,fixed,0.05,1000,3,0.10000000149011612,-0.31833335674471325,1,170,170,0,NA,NA,NA,0.10000000149011612,0.45600005239248276,0.10000000149011612,0.10000000149011612,
E3,cifar100_fixed_lr0.05_ewc1000,fixed,0.05,1000,4,0.3764000192284584,-0.04277778168519338,0,0,0,0,NA,NA,NA,0.2160000056028366,0.14600001275539398,0.307250015437603,0.5630000233650208,
E3,cifar100_fixed_lr0.05_ewc1000,fixed,0.05,1000,5,0.10000000149011612,-0.2770000199476878,1,576,576,0,NA,NA,NA,0.10000000149011612,0.41600003093481064,0.10000000149011612,0.10000000149011612,
E3,cifar100_fixed_lr0.05_ewc1000,fixed,0.05,1000,6,0.40110001862049105,-0.004777779181798299,0,0,0,0,NA,NA,NA,0.24400001764297485,0.19200000166893005,0.2705000042915344,0.49000000953674316,
E3,cifar100_fixed_lr0.05_ewc1000,fixed,0.05,1000,7,0.3835000142455101,-0.05522222485807207,0,0,0,0,NA,NA,NA,0.18300001323223114,0.1380000114440918,0.2900000214576721,0.4480000138282776,
E3,cifar100_fixed_lr0.05_ewc1000,fixed,0.05,1000,8,0.32730001509189605,-0.11622222264607747,0,1,1,0,NA,NA,NA,0.15700000524520874,0.171999990940094,0.2720000147819519,0.4310000240802765,
E3,cifar100_fixed_lr0.05_ewc1000,fixed,0.05,1000,9,0.3952000170946121,-0.02844445241822137,0,0,0,0,NA,NA,NA,0.28700000047683716,0.05500000715255737,0.3270000219345093,0.4650000333786011,
E3,cifar100_fixed_lr0.05_ewc100,fixed,0.05,100,0,0.34520002007484435,-0.10888889100816515,0,0,0,0,NA,NA,NA,0.2410000115633011,0.16600002348423004,0.3147500157356262,0.47300001978874207,
E3,cifar100_fixed_lr0.05_ewc100,fixed,0.05,100,1,0.3860000178217888,-0.06588888665040334,0,0,0,0,NA,NA,NA,0.1510000079870224,0.13899999856948853,0.2710000276565552,0.5049999952316284,
E3,cifar100_fixed_lr0.05_ewc100,fixed,0.05,100,2,0.4041000187397003,-0.06266667114363776,0,0,0,0,NA,NA,NA,0.2639999985694885,0.16699999570846558,0.3100000023841858,0.5420000553131104,
E3,cifar100_fixed_lr0.05_ewc100,fixed,0.05,100,3,0.3712000176310539,-0.07544444998105367,0,0,0,0,NA,NA,NA,0.14000000059604645,0.15900003910064697,0.23000000417232513,0.47600001096725464,
E3,cifar100_fixed_lr0.05_ewc100,fixed,0.05,100,4,0.3516000136733055,-0.08355556428432465,0,0,0,0,NA,NA,NA,0.1720000058412552,0.20100001990795135,0.31675000861287117,0.5670000314712524,
E3,cifar100_fixed_lr0.05_ewc100,fixed,0.05,100,5,0.40990002155303956,-0.05244444807370504,0,0,0,0,NA,NA,NA,0.29600000381469727,0.10700002312660217,0.2970000207424164,0.5890000462532043,
E3,cifar100_fixed_lr0.05_ewc100,fixed,0.05,100,6,0.38220001459121705,-0.0347777803738912,0,0,0,0,NA,NA,NA,0.242000013589859,0.1940000057220459,0.2995000146329403,0.46800002455711365,
E3,cifar100_fixed_lr0.05_ewc100,fixed,0.05,100,7,0.38080002218484876,-0.08366666734218597,0,0,0,0,NA,NA,NA,0.1600000113248825,0.16200000047683716,0.28600001335144043,0.4740000367164612,
E3,cifar100_fixed_lr0.05_ewc100,fixed,0.05,100,8,0.3795000195503235,-0.07311111357476976,0,0,0,0,NA,NA,NA,0.1510000079870224,0.16099999845027924,0.2525000125169754,0.5530000329017639,
E3,cifar100_fixed_lr0.05_ewc100,fixed,0.05,100,9,0.38130001425743104,-0.05211112234327528,0,0,0,0,NA,NA,NA,0.28700000047683716,0.11500000953674316,0.31700000166893005,0.47200003266334534,
